final_kluster	contig	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	RaFah_host_prediction	peaking	Closer_VC2	Accession_VC2	Status_VC2	VC_VC2	Level_VC2	Weight_VC2	Host_VC2	host_for_tree	BaltimoreGroup	Realm	Kingdom	Phylum	Class	Order	Family	Subfamily	Genus
5ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__30908bp__000447||full	non.seasonal	5	5	30905	No	NA	32	6	0	Medium-quality	Genome-fragment	54.23	AAI-based (high-confidence)	0	1	ND	spring	Pelagibacter phage Kolga EXVC016S	MT375529	Overlap (VC_180/VC_182)	n.a.	N7	4	Pelagibacter	PelagibacterVC2	Unclassified	Unclassified	n.a.	n.a.	n.a.	n.a.	Unclassified	O	O
5ns	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__61355bp__000052||full	non.seasonal	5	5	61352	No	NA	91	23	1	High-quality	High-quality	95.14	AAI-based (high-confidence)	0	1	Flavobacterium	spring	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__19545bp__000606||full	non.seasonal	5	5	19409	No	NA	24	4	0	Medium-quality	Genome-fragment	56.97	AAI-based (medium-confidence)	0	1	Bacteroides	spring	n.a.	n.a.	Overlap (VC_25/VC_152)	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__20244bp__000567||full	non.seasonal	14	5	19886	No	NA	21	5	0	Medium-quality	Genome-fragment	56.57	AAI-based (medium-confidence)	0	1	ND	spring	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__21432bp__000483||full	non.seasonal	5	5	21430	No	NA	19	10	0	Medium-quality	Genome-fragment	64.64	AAI-based (medium-confidence)	0	1.02	Comamonas	spring		OQ984150	Clustered	VC_119_0	C10	17		other						n.a.	n.a.		n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__21709bp__000473||full	non.seasonal	5	5	21632	No	NA	29	6	0	Medium-quality	Genome-fragment	55.63	AAI-based (medium-confidence)	0	1.01	Klebsiella	spring		MW805362	Clustered	VC_423_0	C1	4		other						n.a.	n.a.		n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__22755bp__000429||full	non.seasonal	5	5	22584	No	NA	25	3	0	High-quality	High-quality	94.15	AAI-based (medium-confidence)	0	1.01	Pseudomonas	spring	n.a.	n.a.	Overlap (VC_307/VC_309)	n.a.	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__22956bp__000424||full	non.seasonal	5	5	22954	No	NA	25	9	0	Medium-quality	Genome-fragment	67.6	AAI-based (high-confidence)	0	1	ND	spring	n.a.	n.a.	Clustered	VC_29_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__26985bp__000289||full	non.seasonal	5	5	26984	No	NA	40	13	0	Medium-quality	Genome-fragment	72.69	AAI-based (high-confidence)	0	1	ND	spring	n.a.	n.a.	Clustered	VC_29_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__27920bp__000267||full	non.seasonal	14	5	27767	No	NA	40	11	0	Medium-quality	Genome-fragment	83.95	AAI-based (high-confidence)	0	1	Bacteroides	spring	Nonlabens phage P12024L	JQ823123	Clustered	VC_47_0	N78	13	Nonlabens	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__28878bp__000250||full	non.seasonal	5	5	28828	No	NA	46	11	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	ND	spring	Nonlabens phage P12024L	JQ823123	Clustered	VC_80_0	N113	4	Nonlabens	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__37243bp__000139||full	non.seasonal	5	5	37202	No	NA	51	22	0	Complete	High-quality	100	DTR (high-confidence)	0	1.01	Pseudomonas	spring	n.a.	n.a.	Clustered	VC_29_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__38911bp__000133||full	non.seasonal	5	5	38879	No	NA	62	13	0	High-quality	High-quality	99.87	AAI-based (medium-confidence)	0	1	Caulobacter	spring		MW202879	Outlier	n.a.	N3	3		other						n.a.	n.a.	O	O
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__40410bp__000119||full	non.seasonal	5	5	40410	No	NA	50	20	0	Medium-quality	Genome-fragment	82.27	AAI-based (high-confidence)	0	1	ND	spring	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__43726bp__000094||full	non.seasonal	5	5	43724	No	NA	55	22	0	Medium-quality	Genome-fragment	79.67	AAI-based (high-confidence)	0	1	Fusobacterium	spring		MZ892987	Clustered	VC_103_0	C1	69		other						n.a.	n.a.		n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__44587bp__000085||full	non.seasonal	5	5	44544	No	NA	45	17	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	ND	spring		OM418631	Clustered	VC_235_0	C6	10		other						n.a.	n.a.		n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__44654bp__000084||full	non.seasonal	5	5	43557	No	NA	59	14	1	Medium-quality	Genome-fragment	74.13	AAI-based (medium-confidence)	0	1	ND	spring	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__47966bp__000065||full	non.seasonal	5	5	47962	No	NA	61	19	0	Medium-quality	Genome-fragment	87.15	AAI-based (high-confidence)	0	1	ND	spring		MZ892990	Clustered	VC_154_0	C6	85		other						n.a.	n.a.		n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__60442bp__000024||full	non.seasonal	5	5	60227	No	NA	64	17	0	High-quality	High-quality	97.51	AAI-based (medium-confidence)	0	1	Bradyrhizobium	spring	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__64060bp__000018||full	non.seasonal	5	5	63933	No	NA	65	21	1	High-quality	High-quality	99.42	AAI-based (high-confidence)	0	1	Prevotella	spring		MW202828	Clustered	VC_215_0	N27	20		other						n.a.	n.a.	O	O
5ns	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34078bp__000209||full	non.seasonal	14	5	33237	No	NA	31	10	1	Medium-quality	Genome-fragment	55.77	AAI-based (high-confidence)	0	1	Flavobacterium	spring	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__20474bp__000487||full	non.seasonal	14	5	19696	No	NA	24	7	0	Medium-quality	Genome-fragment	83.23	AAI-based (medium-confidence)	0	1	Pseudomonas	spring	n.a.	n.a.	Clustered	VC_395_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5ns	2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__10702bp__001655||full	non.seasonal	5	5	10700	No	NA	14	3	0	Medium-quality	Genome-fragment	52.06	AAI-based (high-confidence)	0	1	Pseudomonas	spring	n.a.	n.a.	Clustered	VC_439_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__13243bp__002284||full	seasonal	3	5	13242	No	NA	19	3	0	Medium-quality	Genome-fragment	54.94	AAI-based (medium-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Outlier	n.a.	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__29497bp__000492||full	seasonal	15	5	29355	No	NA	35	10	0	Medium-quality	Genome-fragment	51.02	AAI-based (medium-confidence)	0	1	ND	autumn		MZ892993	Clustered	VC_162_0	N25	6		other						n.a.	n.a.	O	O
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__29962bp__000478||full	seasonal	29	5	29835	No	NA	40	9	0	High-quality	High-quality	98.79	AAI-based (medium-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_174_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__33057bp__000379||full	seasonal	15	5	33055	No	NA	48	18	1	Medium-quality	Genome-fragment	62.89	AAI-based (high-confidence)	0	1	ND	autumn	Pelagibacter phage HTVC115P	MN698247	Clustered	VC_194_0	N32	23	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__45397bp__000187||full	seasonal	18	5	45338	No	NA	41	9	1	Medium-quality	Genome-fragment	82.78	AAI-based (high-confidence)	0	1	Flavobacterium	autumn	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__48771bp__000147||full	seasonal	31	5	48768	No	NA	62	20	0	Medium-quality	Genome-fragment	88.99	AAI-based (high-confidence)	0	1	ND	autumn	Roseobacter phage CRP-3	MK613345	Clustered	VC_155_0	N5	23	Roseobacter	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__57649bp__000096||full	seasonal	15	5	57625	No	NA	71	12	1	High-quality	High-quality	95.46	AAI-based (high-confidence)	0	1	ND	autumn		MW202828	Clustered	VC_21_0	C6	83		other						n.a.	n.a.		n.a.
5s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__64914bp__000073||full	seasonal	29	5	64800	No	NA	94	26	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	ND	autumn		MZ892990	Clustered/Singleton	VC_154_1	C3	84		other						n.a.	n.a.		O
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__18381bp__001238||full	seasonal	15	5	18346	No	NA	26	10	0	Medium-quality	Genome-fragment	84.27	AAI-based (medium-confidence)	0	1	Prevotella	autumn	n.a.	n.a.	Overlap (VC_134/VC_303)	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__19300bp__001124||full	seasonal	15	5	19136	No	NA	19	7	0	Medium-quality	Genome-fragment	54.21	AAI-based (medium-confidence)	0	1	Actinoalloteichus	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__28687bp__000495||full	seasonal	29	5	28685	No	NA	43	13	0	Medium-quality	Genome-fragment	84.01	AAI-based (medium-confidence)	0	1	Vibrio	autumn	n.a.	n.a.	Clustered	VC_28_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__31137bp__000421||full	seasonal	15	5	31134	No	NA	50	15	1	Medium-quality	Genome-fragment	58.93	AAI-based (high-confidence)	0	1	ND	autumn	Pelagibacter phage HTVC115P	MN698247	Clustered	VC_194_0	N26	26	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34643bp__000319||full	seasonal	15	5	34642	No	NA	51	14	0	Medium-quality	Genome-fragment	61.4	AAI-based (high-confidence)	0	1	Vibrio	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__35144bp__000311||full	seasonal	18	5	34829	No	NA	35	8	0	Medium-quality	Genome-fragment	55.77	AAI-based (high-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Clustered	VC_242_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__49638bp__000126||full	seasonal	31	5	49635	No	NA	53	22	0	High-quality	High-quality	99.5	AAI-based (medium-confidence)	0	1	ND	autumn		MW202898	Outlier	n.a.	N12	7		other						n.a.	n.a.	O	O
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54146bp__000090||full	seasonal	15	5	54143	No	NA	71	7	1	High-quality	High-quality	99.18	AAI-based (high-confidence)	0	1	Roseburia	autumn	n.a.	n.a.	Clustered	VC_145_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__71533bp__000040||full	seasonal	15	5	71406	No	NA	100	8	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_332_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__87441bp__000020||full	seasonal	18	5	87262	No	NA	77	14	3	High-quality	High-quality	99.99	AAI-based (high-confidence)	0	1	Prevotella	autumn	n.a.	n.a.	Clustered	VC_182_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__35595bp__000219||full	seasonal	29	5	35159	No	NA	48	18	0	High-quality	High-quality	93.39	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	autumn		OQ414636	Overlap (VC_38/VC_87)	n.a.	C7	7		other						n.a.	n.a.		O
5s	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__26569bp__000527||full	seasonal	31	5	26567	No	NA	22	8	0	Medium-quality	Genome-fragment	60	AAI-based (medium-confidence)	0	1	Klebsiella	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__36697bp__000290||full	seasonal	18	5	36673	No	NA	58	19	0	High-quality	High-quality	91.94	AAI-based (high-confidence)	0	1	Comamonas	autumn	Methylophilales phage Venkman EXVC282S	MT375522	Outlier	n.a.	N7	11	Methylophilales	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
5s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__53323bp__000096||full	seasonal	29	5	53320	No	NA	76	27	0	High-quality	High-quality	92.61	AAI-based (high-confidence)	0	1.01	Vibrio	autumn		MW202675	Clustered	VC_39_1	N72	9		other						n.a.	n.a.	O	O
5s	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__19611bp__000778||full	seasonal	15	5	19557	No	NA	33	16	0	Medium-quality	Genome-fragment	51.82	AAI-based (high-confidence)	0	1	Salinispora	autumn		OP329100	Outlier	n.a.	N8	15		other						n.a.	n.a.	O	O
5s	2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__28750bp__000418||full	seasonal	18	5	28430	No	NA	35	10	1	High-quality	High-quality	94.83	AAI-based (high-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Overlap (VC_84/VC_86)	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__30086bp__000345||full	seasonal	31	5	30084	No	NA	29	8	0	Medium-quality	Genome-fragment	56.43	AAI-based (medium-confidence)	0	1	ND	autumn		MZ892989	Outlier	n.a.	N1	24		other						n.a.	n.a.	O	O
5s	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__40074bp__000157||full	seasonal	15	5	39615	No	NA	40	11	0	Medium-quality	Genome-fragment	65.25	AAI-based (high-confidence)	0	1	Prevotella	autumn	n.a.	n.a.	Clustered	VC_136_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__20478bp__000836||full	seasonal	18	5	20403	No	NA	35	8	0	Medium-quality	Genome-fragment	59.07	AAI-based (high-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_78_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5s	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__25687bp__000406||full	seasonal	31	5	25390	No	NA	32	12	0	Medium-quality	Genome-fragment	70.96	AAI-based (medium-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__17701bp__001052||full	seasonal	60	60	17699	No	NA	16	5	0	Medium-quality	Genome-fragment	53.5	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	winter	Methylophilales phage MEP301	MW452941	Clustered	VC_56_0	C6	25	Methylophilales	other	Unclassified	Unclassified	n.a.	n.a.	n.a.	n.a.	Unclassified	Unclassified	Unclassified
60s	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__27761bp__000405||full	seasonal	60	60	27760	No	NA	49	12	0	Medium-quality	Genome-fragment	85.69	AAI-based (high-confidence)	0	1	ND	winter	Nonlabens phage P12024L	JQ823123	Clustered	VC_47_0	N88	9	Nonlabens	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
60s	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__35859bp__000214||full	seasonal	60	60	35857	No	NA	45	15	0	Medium-quality	Genome-fragment	61.15	AAI-based (high-confidence)	0	1	Caulobacter	winter		OQ594354	Clustered	VC_201_0	N44	2		other						n.a.	n.a.	O	O
60s	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__58638bp__000047||full	seasonal	71	60	58600	No	NA	67	28	0	High-quality	High-quality	95.65	AAI-based (medium-confidence)	0	1	Vibrio	winter		MW574966	Clustered	VC_105_0	N3	62		other						n.a.	n.a.	O	O
60s	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__35341bp__000185||full	seasonal	60	60	35341	No	NA	49	10	0	High-quality	High-quality	98.67	AAI-based (high-confidence)	0	1	ND	winter		OQ984151	Clustered	VC_42_0	C3	37		other						n.a.	n.a.		n.a.
60s	2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__25034bp__000587||full	seasonal	71	60	25031	No	NA	21	4	0	Medium-quality	Genome-fragment	66.59	AAI-based (medium-confidence)	0	1	Thermobacillus	winter	n.a.	n.a.	Clustered	VC_324_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__29176bp__000365||full	seasonal	60	60	29172	No	NA	55	28	0	High-quality	High-quality	93.58	AAI-based (high-confidence)	0	1	ND	winter	Pelagibacter phage HTVC026P	MN698240	Clustered	VC_26_0	N8	34	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__14799bp__001859||full	seasonal	60	60	14797	No	NA	27	6	0	Medium-quality	Genome-fragment	50.66	AAI-based (medium-confidence)	0	1	Bradyrhizobium	winter	n.a.	n.a.	Clustered	VC_22_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__163085bp__000003||full	seasonal	60	60	163084	No	NA	170	26	21	Medium-quality	Genome-fragment	85.02	AAI-based (high-confidence)	0	1	Candidatus Ruthia	winter	uncultured phage	LR756508	Clustered/Singleton	VC_6_15	C11	56	Unspecified	other	Unclassified	Unclassified	n.a.	n.a.	n.a.	n.a.	Unclassified	Unclassified	O
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__17623bp__001297||full	seasonal	60	60	17620	No	NA	27	8	0	Medium-quality	Genome-fragment	55.42	AAI-based (medium-confidence)	0	1	ND	winter	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__18321bp__001201||full	seasonal	107	60	18072	No	NA	30	5	0	Medium-quality	Genome-fragment	62.16	AAI-based (medium-confidence)	0	1	Bacteroides	winter	n.a.	n.a.	Overlap (VC_126/VC_161)	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__19786bp__001035||full	seasonal	60	60	19708	No	NA	32	18	0	Medium-quality	Genome-fragment	53.04	AAI-based (medium-confidence)	0	1	Roseobacter	winter	Roseobacter phage CRP-6	MK613348	Clustered	VC_28_0	N9	16	Roseobacter	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	O	O
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__20049bp__001011||full	seasonal	60	60	20048	No	NA	23	10	0	Medium-quality	Genome-fragment	54.62	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	winter		OQ414635	Overlap (VC_55/VC_65)	n.a.	C31	15		other						n.a.	n.a.		O
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__21438bp__000853||full	seasonal	107	60	21438	No	NA	25	14	0	Medium-quality	Genome-fragment	63.85	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	winter	Pelagibacter phage HTVC028P	MW273921	Clustered	VC_37_0	C40	9	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Unclassified
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__21554bp__000844||full	seasonal	60	60	21552	No	NA	41	7	0	Medium-quality	Genome-fragment	58.88	AAI-based (medium-confidence)	0	1	ND	winter	n.a.	n.a.	Clustered	VC_68_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__21981bp__000813||full	seasonal	60	60	21980	No	NA	32	10	0	Medium-quality	Genome-fragment	54.66	AAI-based (medium-confidence)	0	1	ND	winter		OP028995	Outlier	n.a.	N1	5		other						n.a.	n.a.	O	O
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__25543bp__000574||full	seasonal	60	60	25107	No	NA	27	8	1	Medium-quality	Genome-fragment	76.54	AAI-based (medium-confidence)	0	1	Candidatus Pelagibacter	winter	Methylophilales phage MEP301	MW452941	Outlier	n.a.	N15	5	Methylophilales	other	Unclassified	Unclassified	n.a.	n.a.	n.a.	n.a.	Unclassified	O	O
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__26419bp__000531||full	seasonal	60	60	26090	No	NA	27	5	0	Medium-quality	Genome-fragment	55.56	AAI-based (medium-confidence)	0	1	ND	winter	n.a.	n.a.	Clustered	VC_393_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__27670bp__000489||full	seasonal	60	60	27669	No	NA	27	8	1	Medium-quality	Genome-fragment	51.17	AAI-based (medium-confidence)	0	1	ND	winter	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__28227bp__000466||full	seasonal	107	60	27795	No	NA	41	6	0	Medium-quality	Genome-fragment	72.94	AAI-based (medium-confidence)	0	1	Nocardiopsis	winter		MW202803	Clustered	VC_365_0	C7	7		other						n.a.	n.a.		n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__28990bp__000439||full	seasonal	60	60	28989	No	NA	45	9	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1.01	ND	winter	n.a.	n.a.	Clustered	VC_125_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__33944bp__000307||full	seasonal	60	60	33944	No	NA	44	12	0	High-quality	High-quality	99.33	AAI-based (medium-confidence)	0	1	ND	winter		MW202489	Overlap (VC_118/VC_199)	n.a.	N10	7		other						n.a.	n.a.	O	O
60s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__34669bp__000290||full	seasonal	60	60	34667	No	NA	61	7	0	High-quality	High-quality	96.13	AAI-based (high-confidence)	0	1	ND	winter	n.a.	n.a.	Clustered	VC_78_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
